625, xxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxx
1875, 00000000000000000000, 00000000000000000000
3125, 00000000000000000000, 00000000000000000000
4375, 00000000000000000000, 00000000000000000000
5625, 00000000000000000000, 00000000000000000000
6875, 00000000001100100100, 00000000000000000000
8125, 00000000001100100100, 10000000000000000000
9375, 00000000001011001001, 10000000000101101111
10625, 00101000100001001010, 10110001100010110000
11875, 00001110001111100100, 10111110011000101111
13125, 10001101011101011111, 10111110100100111011
14375, 10110010000010101010, 10100111111001100101
15625, 10111001010100000111, 10011100011110111101
16875, 11000000000000000100, 00000000110011000100
18125, 10111001111111111110, 00011011000011001000
19375, 10101001001001001111, 00110001000001001110
20625, 10001111000001001110, 00111110001101010011
21875, 00001100101011100011, 00111110101111001010
23125, 00110011000000111111, 00100110101001001101
24375, 00111000111101001111, 00011101001100011101
25625, 00111111111111010100, 10000001100110000110
26875, 00111010010110010100, 10011010010100010000
28125, 00101001110000000010, 10110000100000010010
29375, 00010000100100001010, 10111101110100010010
30625, 10001011111001011111, 10111110111000100101
31875, 10110011011111100100, 10100110000000010110
33125, 10111000100101111111, 10011101111001100011
34375, 10111111111100100101, 00000010011001001001
35625, 10111010111110111101, 00011000110110110000
36875, 10101010010110010010, 00101111111111000010
38125, 10010001010101010010, 00111101100111001010
39375, 00001011000111010010, 00111111000001100110
40625, 00110011111101010011, 00100101010111010100
41875, 00111000001100100111, 00011110100111001101
43125, 00111111111010100100, 10000011001100001010
44375, 00111011010010001000, 10011000000111101111
45625, 00101010111100001011, 10101111011101010101
46875, 00010010000110010011, 10111101011001001111
48125, 10001010010101000000, 10111111001001110001
49375, 10110100011011111101, 10100100101100111000
50625, 10110111011011000001, 10100000000000001011
51875, 10111111111000000110, 00000011111111000111
53125, 10111011100100111000, 00010111011000011010
54375, 10101011100001101011, 00101110111010111101
55625, 10010010110111000100, 00111101001010111111
56875, 00001000101111110011, 00111111011010011000
58125, 00110100111000101000, 00100100000011000111
59375, 00110111000001100011, 00100000101100000011
60625, 00111111110100110100, 10000100110010000011
61875, 00111011110110110111, 10010110101000111010
63125, 00101100101011011001, 10101101110100110011
64375, 00010011101000001101, 10111100111010000011
65625, 10000111111101001101, 10111111100000101010
66875, 10110101010100111110, 10100011011000110111
68125, 10110110100111010100, 10100001010111101011
69375, 10111111110001000110, 00000101100100111001
70625, 10111100001000011100, 00010101111001000111
71875, 10101101010000101101, 00101101001111111100
73125, 10010100011000100101, 00111100101010011111
74375, 00000111001010100010, 00111111100110100001
75625, 00100010101110010001, 00110101110000110000
76875, 00110110001100101111, 00100010000010111000
78125, 00111111100110111110, 10000111001010100010
79375, 00111100011010110001, 10010101001000100100
80625, 00101101010000000001, 10101101010000100111
81875, 00010101001000110100, 10111100011010000111
83125, 10000110010111110010, 10111111101011100011
84375, 10100001011000000000, 10110110100110101111
85625, 10110101110001011100, 10100010101101110101
86875, 10111111011111110011, 00000111111101010111
88125, 10111100101011001010, 00010100011000010101
89375, 10101100101011110101, 00101101110100010100
90625, 10010110101000101001, 00111011110111100101
91875, 00000101100101000011, 00111111101111111110
93125, 00100000101100011000, 00110111000000111000
94375, 00110101010100011101, 00100011011001001101
95625, 00111111011001010110, 10001000101111111101
96875, 00111100111010111100, 10010011100111111000
98125, 00101100000111010110, 10101110010111011101
99375, 00010111011000001101, 10111011100101011011
100625, 10000100110010001001, 10111111110011111011
101875, 10011111111111101111, 10110111011011101110
103125, 10110100111000001000, 10100100000011011101
104375, 10111111010010011011, 00001001100010011100
105625, 10111101011000100010, 00010010000110100010
106875, 10101011100010010001, 00101110111010010000
108125, 10011000001000000011, 00111011010001011010
109375, 00000011111111000111, 00111111111000101000
110625, 00011111010011011101, 00110111110100110011
111875, 00110011111101110110, 00100101010110111001
113125, 00111111001010101110, 10001010010100110110
114375, 00111101100110011111, 10010001010101011111
115625, 00101010111011110101, 10101111011101100111
116875, 00011000110111001011, 10111010111110000011
118125, 10000010011001001001, 10111111111101100001
119375, 10011110100110110111, 10111000001101010010
120625, 10110011011111111011, 10100110000000000011
121875, 10111111000010011001, 00001011000111001001
123125, 10111101110101001100, 00010000100011111011
124375, 10101010010101110100, 00101111111111101001
125625, 10011001100101111101, 00111010101010010011
